Code,Country,Year,GDPcoL,HCEcoL,GDPcoU,HCEcoU,GDPcuL,HCEcuL,GDPcuU,HCEcuU,GDPcoL_ix,HCEco:_ix,GDPcoU_ix,HCEcoU_ix,GDPcuL_ix,HCEcuL_ix,GDPcuU_ix,HCEcuU_ix
TWN,Taiwan,1970,8.62E+11,5.45E+11,27027618501,5.21E+11,2.31E+11,1.28E+11,5785809964,3189400753,1,1,1,1,1,1,1,1
TWN,Taiwan,1971,9.78E+11,6.05E+11,30656280731,5.78E+11,2.69E+11,1.42E+11,6728129096,3562274636,1,1,1,1,1,1,1,1
TWN,Taiwan,1972,1.11E+12,6.83E+11,34909157002,6.52E+11,3.23E+11,1.64E+11,8063833397,4111278539,1,1,1,1,1,1,1,1
TWN,Taiwan,1973,1.26E+12,7.74E+11,39388649636,7.39E+11,4.18E+11,2.07E+11,10941804314,5408012655,1,1,1,1,1,1,1,1
TWN,Taiwan,1974,1.29E+12,8.13E+11,40438776731,7.77E+11,5.60E+11,2.99E+11,14741333696,7874374646,1,1,1,1,1,1,1,1
TWN,Taiwan,1975,1.37E+12,8.53E+11,42940580306,8.14E+11,6.02E+11,3.36E+11,15838685752,8854791131,1,1,1,1,1,1,1,1
TWN,Taiwan,1976,1.57E+12,9.42E+11,49073535374,8.99E+11,7.22E+11,3.69E+11,18990509942,9710491518,1,1,1,1,1,1,1,1
TWN,Taiwan,1977,1.74E+12,1.01E+12,54671609861,9.66E+11,8.46E+11,4.27E+11,22255825175,11237270936,1,1,1,1,1,1,1,1
TWN,Taiwan,1978,1.98E+12,1.13E+12,62082801947,1.07E+12,1.01E+12,4.98E+11,27376907305,13468221116,1,1,1,1,1,1,1,1
TWN,Taiwan,1979,2.16E+12,1.24E+12,67566961494,1.18E+12,1.22E+12,6.05E+11,33880070988,16815078428,1,1,1,1,1,1,1,1
TWN,Taiwan,1980,2.33E+12,1.30E+12,72998504225,1.24E+12,1.52E+12,7.67E+11,42297997435,21299439071,1,1,1,1,1,1,1,1
TWN,Taiwan,1981,2.49E+12,1.36E+12,78181400607,1.30E+12,1.80E+12,9.14E+11,49054282075,24836017129,1,1,1,1,1,1,1,1
TWN,Taiwan,1982,2.61E+12,1.44E+12,81942056056,1.38E+12,1.94E+12,9.90E+11,49548043817,25315424924,1,1,1,1,1,1,1,1
