Code,Country,Year,Pop,Wpop,LDApop,GDPcoL,GDPcoU,HCEcoL,HCEcoU,GDPcuL,GDPcuU,HCEcuL,HCEcuU
ESH,Western Sahara,1970,76372,42947,38709,376046518.3,38512198.41,193049708.6,19770874.93,57250256.66,11313184.42,31776370.74,6279307.085
ESH,Western Sahara,1971,78725,43601,38936,401180331.1,41086237.37,208935587.8,21397801.66,62667248.88,12409457.32,35798212.09,7088812.627
ESH,Western Sahara,1972,78261,42415,37555,417584555.4,42766249.57,212795593.6,21793117.93,68551166.05,14926828.48,37817065.63,8234562.371
ESH,Western Sahara,1973,77662,41241,36214,433942388.5,44441510.69,220660614.1,22598601.33,75487347.56,18380521.72,41197417.61,10031217.86
ESH,Western Sahara,1974,76471,40273,35292,510688908.1,52301381.87,246109043.4,25204861.23,110109921.5,25198123.82,53362553.91,12211762.78
ESH,Western Sahara,1975,66865,35230,30972,483159721.5,49482024.58,223629524.1,22902657.47,105141971.2,25945045.16,52350234.38,12918049.57
ESH,Western Sahara,1976,64505,33926,29894,540510525.4,55355514.77,228801744.1,23432362.05,123500439.5,27945622.65,59285004.71,13414983.6
ESH,Western Sahara,1977,77474,40772,35950,723425893.1,74088497.5,292211620.2,29926382.37,183095954.8,40657760.16,85587253.51,19005258.91
ESH,Western Sahara,1978,90807,49881,44190,879498830,90072455.92,374489231.4,38352711.39,241287806.5,57909015.67,114426177.9,27462255.24
ESH,Western Sahara,1979,104591,61025,54458,1085858097,111206407.8,468499427.2,47980614.14,319768685.4,82010177.6,150607735.5,38625943.37
ESH,Western Sahara,1980,116775,70162,62966,1338680808,137098838.5,545800012.1,55897229.03,451702439.5,114742971.2,218275785.2,55447148.29
ESH,Western Sahara,1981,126048,76317,68793,1394428493,142808147.9,590885936.8,60514631.38,516166631.3,99794491.27,255996224.7,49493732.18
ESH,Western Sahara,1982,133368,80542,72848,1697242719,173820379.1,697718356,71455701.5,673709900.1,111855783.4,320427862.9,53200509.04
ESH,Western Sahara,1983,139254,83377,75591,1752110885,179439613.8,755201293.3,77342723.92,746363347.1,104954213.5,362746025.4,51009637.51
ESH,Western Sahara,1984,144663,85664,77802,1955179994,200236609.5,865027585.6,88590406.73,904593803.3,102671826.1,458498726.1,52039823.09
ESH,Western Sahara,1985,150191,87916,79988,2248683155,230295262.9,937729474.4,96036053.56,1128077547,112107150.4,524507089.2,52124958.34
ESH,Western Sahara,1986,155777,90176,82179,2688006511,275287856.8,1186449569,121508321.4,1486041452,163221590.8,731701110.3,80367488.43
ESH,Western Sahara,1987,161357,92436,84375,2652904135,271692903.5,1187376142,121603214.9,1523991269,182312507.3,741485399.5,88702648.81
ESH,Western Sahara,1988,167031,94720,86643,3197103718,327426227.2,1368169714,140118897.3,1926199705,234640578.5,860335325.7,104801998.5
ESH,Western Sahara,1989,172744,97030,88946,3414159991,349655695.8,1509742185,154617813.8,2147561782,253006452.8,1009807284,118966430.3
