Code,Country,Short,Abbr,Num
AFG,Afghanistan,Afghanistan,Afg.,4
ALA,Aland Islands,Aland Is,Aland,248
ALB,Albania,Albania,Alb.,8
DZA,Algeria,Algeria,Alg.,12
ASM,American Samoa,Am Samoa,Am.Sam.,16
AND,Andorra,Andorra,And.,20
AGO,Angola,Angola,Ango.,24
AIA,Anguilla,Anguilla,Angu.,660
ATA,Antarctica,Antarctica,Antar.,10
ATG,Antigua and Barbuda,Antigua,Antig.,28
ARG,Argentina,Argentina,Arg.,32
ARM,Armenia,Armenia,Arm.,51
ABW,Aruba,Aruba,Aruba,533
AUS,Australia,Australia,Aus.,36
AUT,Austria,Austria,Aut.,40
AZE,Azerbaijan,Azerbaijan,Azer.,31
BHS,Bahamas,Bahamas,Bhs.,44
BHR,Bahrain,Bahrain,Bahr.,48
BGD,Bangladesh,Bangladesh,Bang.,50
BRB,Barbados,Barbados,Barb.,52
BLR,Belarus,Belarus,Bela.,112
BEL,Belgium,Belgium,Belg.,56
BLZ,Belize,Belize,Belz.,84
BEN,Benin,Benin,Benin,204
BMU,Bermuda,Bermuda,Ber.,60
BTN,Bhutan,Bhutan,Bhu.,64
BOL,Bolivia,Bolivia,Bol.,68
BES,"Bonaire, Sint Eustatius and Saba",Bonaire,Bon.,535
BIH,Bosnia and Herzegovina,Bosnia,Bos.,70
BWA,Botswana,Botswana,Bwa.,72
BVT,Bouvet Island,Bouvet Is,Bouv.,74
BRA,Brazil,Brazil,Bra.,76
IOT,British Indian Ocean Territory,BIOT,BIOT,86
VGB,British Virgin Islands,Br Virgin Is,BVI,92
BRN,Brunei Darussalam,Brunei,Bru.,96
BGR,Bulgaria,Bulgaria,Bulg.,100
BFA,Burkina Faso,Burkina Faso,B.Faso,854
BDI,Burundi,Burundi,Bur.,108
CPV,Cabo Verde,Cabo Verde,C.Ver.,132
KHM,Cambodia,Cambodia,Camb.,116
CMR,Cameroon,Cameroon,Came.,120
CAN,Canada,Canada,Can.,124
CYM,Cayman Islands,Cayman Islands,Cay.Is.,136
CAF,Central African Republic,C African Rep,CAR,140
TCD,Chad,Chad,Chad,148
CHL,Chile,Chile,Chile,152
CHN,China,China,China,156
CXR,Christmas Island,Christmas Is,Chris.,162
CCK,Cocos Islands,Cocos Is,Cocos,166
COL,Colombia,Colombia,Col.,170
COM,Comoros,Comoros,Com.,174
COD,"Congo, Dem. Rep.","Congo, DR",DRC,180
COG,"Congo, Rep.","Congo, Rep",Congo,178
COK,Cook Islands,Cook Is,Cook,184
CRI,Costa Rica,Costa Rica,CR,188
CIV,Cote d'Ivoire,Cote d'Ivoire,C.Ivo.,384
HRV,Croatia,Croatia,Cro.,191
CUB,Cuba,Cuba,Cuba,192
CUW,Curacao,Curacao,Cur.,531
CYP,Cyprus,Cyprus,Cyp.,196
CZE,Czechia,Czechia,Cz.,203
DNK,Denmark,Denmark,Den.,208
DJI,Djibouti,Djibouti,Dji.,262
DMA,Dominica,Dominica,Dom.,212
DOM,Dominican Republic,Dominican Rep,DR,214
ECU,Ecuador,Ecuador,Ecu.,218
EGY,Egypt,Egypt,Egypt,818
SLV,El Salvador,El Salvador,Sal.,222
GNQ,Equatorial Guinea,Eq Guinea,Eq.Gui.,226
ERI,Eritrea,Eritrea,Erit.,232
EST,Estonia,Estonia,Est.,233
SWZ,Eswatini,Eswatini,Swa.,748
ETH,Ethiopia,Ethiopia,Eth.,231
FLK,Falkland Islands,Falkland Is,Falk.,238
FRO,Faroe Islands,Faroe Is,Faroe,234
FJI,Fiji,Fiji,Fiji,242
FIN,Finland,Finland,Fin.,246
FRA,France,France,Fr.,250
GUF,French Guiana,Fr Guiana,Fr.Gui.,254
PYF,French Polynesia,Fr Polynesia,Fr.Pol.,258
ATF,French Southern Territories,Fr S Territories,TAF,260
GAB,Gabon,Gabon,Gabon,266
GMB,Gambia,Gambia,Gam.,270
GEO,Georgia,Georgia,Geo.,268
DEU,Germany,Germany,Ger.,276
GHA,Ghana,Ghana,Ghana,288
GIB,Gibraltar,Gibraltar,Gibr.,292
GRC,Greece,Greece,Greece,300
GRL,Greenland,Greenland,Green.,304
GRD,Grenada,Grenada,Gren.,308
GLP,Guadeloupe,Guadeloupe,Guade.,312
GUM,Guam,Guam,Guam,316
GTM,Guatemala,Guatemala,Guat.,320
GGY,Guernsey,Guernsey,Gue.,831
GIN,Guinea,Guinea,Gui.,324
GNB,Guinea-Bissau,Guinea-Bissau,Gui.B.,624
GUY,Guyana,Guyana,Guy.,328
HTI,Haiti,Haiti,Haiti,332
HMD,Heard Island and McDonald Islands,Heard & McDonald Is,Heard,334
VAT,Holy See,Holy See,Vat.,336
HND,Honduras,Honduras,Hond.,340
HKG,Hong Kong,Hong Kong,HK,344
HUN,Hungary,Hungary,Hun.,348
ISL,Iceland,Iceland,Ice.,352
IND,India,India,India,356
IDN,Indonesia,Indonesia,Indo.,360
IRN,Iran,Iran,Iran,364
IRQ,Iraq,Iraq,Iraq,368
IRL,Ireland,Ireland,Ire.,372
IMN,Isle of Man,Man,Man,833
ISR,Israel,Israel,Isr.,376
ITA,Italy,Italy,Italy,380
JAM,Jamaica,Jamaica,Jam.,388
JPN,Japan,Japan,Japan,392
JEY,Jersey,Jersey,Jer.,832
JOR,Jordan,Jordan,Jord.,400
KAZ,Kazakhstan,Kazakhstan,Kaz.,398
KEN,Kenya,Kenya,Ken.,404
KIR,Kiribati,Kiribati,Kiri.,296
PRK,"Korea, DPR","Korea, DPR",DPRK,408
KOR,"Korea, Rep.",S Korea,Kor.,410
XKX,Kosovo,Kosovo,Kos.,412
KWT,Kuwait,Kuwait,Kwt.,414
KGZ,Kyrgyzstan,Kyrgyzstan,Kyrg.,417
LAO,Laos,Laos,Laos,418
LVA,Latvia,Latvia,Lat.,428
LBN,Lebanon,Lebanon,Leb.,422
LSO,Lesotho,Lesotho,Les.,426
LBR,Liberia,Liberia,Libe.,430
LBY,Libya,Libya,Libya,434
LIE,Liechtenstein,Liechtenstein,Lie.,438
LTU,Lithuania,Lithuania,Lith.,440
LUX,Luxembourg,Luxembourg,Lux.,442
MAC,Macao,Macao,Macao,446
MDG,Madagascar,Madagascar,Mada.,450
MWI,Malawi,Malawi,Ma'wi.,454
MYS,Malaysia,Malaysia,Malay.,458
MDV,Maldives,Maldives,Mald.,462
MLI,Mali,Mali,Mali,466
MLT,Malta,Malta,Malta,470
MHL,Marshall Islands,Marshall Is,Mar.Is.,584
MTQ,Martinique,Martinique,Mart.,474
MRT,Mauritania,Mauritania,Mau'ia,478
MUS,Mauritius,Mauritius,Mau'us,480
MYT,Mayotte,Mayotte,Mayo.,175
MEX,Mexico,Mexico,Mex.,484
FSM,Micronesia,Micronesia,Micro.,583
MDA,Moldova,Moldova,Mol.,498
MCO,Monaco,Monaco,Mona.,492
MNG,Mongolia,Mongolia,Mong.,496
MNE,Montenegro,Montenegro,Monte.,499
MSR,Montserrat,Montserrat,Monts.,500
MAR,Morocco,Morocco,Mor.,504
MOZ,Mozambique,Mozambique,Moz.,508
MMR,Myanmar,Myanmar,Myan.,104
NAM,Namibia,Namibia,Nam.,516
NRU,Nauru,Nauru,Nauru,520
NPL,Nepal,Nepal,Nepal,524
