Code,GDPpu11,HCEpu11,GDPpu17,HCEpu17
AFG,2.813800216,3.953774931,3.953774931,3.953774931
DZA,2.474493222,2.314168106,2.856025523,2.904312003
AGO,1.453968857,1.160665511,1.784969106,1.546713598
ARG,1.509870211,1.614836297,1.614836297,1.614836297
AUS,0.641581641,0.635363354,0.890119209,0.853153676
AUT,0.86410065,0.843734007,1.149045883,1.065280538
AZE,2.059921366,2.442493082,3.404938756,3.534332675
BGD,3.167612482,2.998222723,2.704858088,2.725395348
BLR,2.859346022,3.025839892,3.171862349,3.133389104
BEL,0.863542646,0.818447935,1.145316089,1.047162202
BEN,2.140627201,2.093345157,2.685174042,2.652108363
BOL,2.342124402,2.414945048,2.531881732,2.664692194
BRA,1.135494242,1.013085684,1.462892522,1.371236041
BGR,2.004113621,1.769834946,2.568059308,2.354153372
BFA,2.114893181,2.115300846,2.788286354,2.914142585
BDI,2.732499241,2.541888815,2.640198341,2.642111874
KHM,2.959739913,2.71788965,2.835838566,2.720704483
CMR,1.976757958,1.944410256,2.500306609,2.456929214
CAN,0.798070858,0.771657359,1.077196277,1.008605315
TCD,1.828008005,1.885572209,2.388934689,2.449228442
CHL,1.389781862,1.250377243,1.577658551,1.354571235
CHN,1.833315514,1.747513436,1.615454136,1.629934474
COL,1.581982005,1.526135345,2.244719262,2.079315843
COD,1.728161105,1.681795865,2.269041435,2.322240866
HRV,1.424098287,1.264905211,1.985625466,1.731948004
CYP,1.028298538,0.946759716,1.43952303,1.324801957
CZE,1.323703677,1.223429373,1.882719332,1.707049146
CIV,1.991747718,1.938160047,2.293930793,2.3552965
DNK,0.716861688,0.641957534,0.96099341,0.834437048
DOM,2.007743491,1.834768222,2.199425993,1.948982157
ECU,1.895474679,1.825632919,1.869784561,1.740633851
EGY,3.551259165,3.468261845,5.463382002,5.237033466
SLV,1.979726502,1.861350324,2.162021008,1.941750324
EST,1.404204517,1.238475943,1.658818255,1.484158544
ETH,3.356015488,3.031389038,2.800904909,2.80896104
FIN,0.799929602,0.738382822,1.025124253,0.948451798
FRA,0.85384349,0.816534153,1.154941374,1.059657444
DEU,0.910809049,0.868602666,1.195295241,1.124508265
GHA,2.168518135,1.940976179,2.46641585,2.484667485
GRC,1.007330339,0.935327521,1.536618324,1.369617887
GTM,2.146718035,2.005599282,1.867408608,1.867408608
GIN,2.678317271,2.560888742,2.837575695,2.839386081
HTI,2.215601536,1.966988084,2.234760868,2.047623177
HND,1.894126542,1.855866378,2.276481772,2.176252106
HKG,1.487585812,1.37843188,1.296404674,1.248513314
HUN,1.614982498,1.46302448,2.036959064,1.857091774
IND,3.001403215,3.053771698,3.153923968,3.344878275
IDN,2.496740041,2.253325583,2.849626122,2.629017109
IRN,2.230846287,1.994256132,2.543874735,2.382683842
IRQ,2.291434859,2.511105797,2.239814182,2.261471126
IRL,0.863956266,0.750064563,1.118938353,0.911887684
ISR,0.907057999,0.841184954,0.961146537,0.855691863
ITA,0.946886981,0.88173324,1.28935909,1.153762371
JPN,0.742706779,0.692900991,1.06440729,0.992417223
JOR,2.433531686,2.178234511,2.357403475,2.150875859
KAZ,1.786086361,1.850755478,2.688582989,2.602516512
KEN,2.509053676,2.493190985,2.573375131,2.483762485
KOR,1.296876433,1.22694515,1.296810906,1.160355257
KWT,1.630596536,1.571619809,1.709109407,1.618408286
KGZ,2.93390565,2.831560639,4.055088775,3.549793672
LAO,3.011419413,2.570378271,2.99433516,2.664973743
LVA,1.44109384,1.267335111,1.827748799,1.598385556
LTU,1.589645199,1.406679705,2.003270912,1.812427191
LUX,0.793714876,0.733343127,1.048255236,0.916525508
