CY,Code,Year,Country,Bud,Christ,Folk,Hindu,Jew,Mus,Other,Un
AFG_2010,AFG,2010,Afghanistan,0,0,0,0,0,1,0,0
ALB_2010,ALB,2010,Albania,0,0.180541625,0,0,0,0.805416249,0,0.014042126
DZA_2010,DZA,2010,Algeria,0,0,0,0,0,0.981945838,0,0.018054162
ASM_2010,ASM,2010,American Samoa,0,1,0,0,0,0,0,0
AND_2010,AND,2010,Andorra,0,0.910478128,0,0,0,0,0,0.089521872
AGO_2010,AGO,2010,Angola,0,0.906813627,0.042084168,0,0,0,0,0.051102204
AIA_2010,AIA,2010,Anguilla,0,0.914228052,0.02926337,0,0,0,0.016145308,0.040363269
ATG_2010,ATG,2010,Antigua and Barbuda,0,0.946083418,0.036622584,0,0,0,0,0.017293998
ARG_2010,ARG,2010,Argentina,0,0.865853659,0,0,0,0.010162602,0,0.12398374
ARM_2010,ARM,2010,Armenia,0,0.986973948,0,0,0,0,0,0.013026052
ABW_2010,ABW,2010,Aruba,0,0.92641129,0.013104839,0,0,0,0,0.060483871
AUS_2010,AUS,2010,Australia,0.02755102,0.686734694,0,0.014285714,0,0.024489796,0,0.246938776
AUT_2010,AUT,2010,Austria,0,0.809667674,0,0,0,0.054380665,0,0.135951662
AZE_2010,AZE,2010,Azerbaijan,0,0.03003003,0,0,0,0.96996997,0,0
BHS_2010,BHS,2010,Bahamas,0,0.968718466,0,0,0,0,0,0.031281534
BHR_2010,BHR,2010,Bahrain,0.025252525,0.146464646,0,0.098989899,0,0.71010101,0,0.019191919
BGD_2010,BGD,2010,Bangladesh,0,0,0,0.085945399,0,0.914054601,0,0
BRB_2010,BRB,2010,Barbados,0,0.966497462,0,0,0,0,0.014213198,0.01928934
BLR_2010,BLR,2010,Belarus,0,0.713426854,0,0,0,0,0,0.286573146
BEL_2010,BEL,2010,Belgium,0,0.647830474,0,0,0,0.059535822,0,0.292633703
BLZ_2010,BLZ,2010,Belize,0,0.884848485,0.015151515,0,0.01010101,0,0,0.08989899
BEN_2010,BEN,2010,Benin,0,0.530530531,0.181181181,0,0,0.238238238,0,0.05005005
BMU_2010,BMU,2010,Bermuda,0,0.76142132,0.030456853,0,0,0.011167513,0,0.196954315
BTN_2010,BTN,2010,Bhutan,0.753024194,0,0.019153226,0.227822581,0,0,0,0
BOL_2010,BOL,2010,Bolivia,0,0.948484848,0,0,0,0,0.01010101,0.041414141
BIH_2010,BIH,2010,Bosnia-Herzegovina,0,0.523,0,0,0,0.452,0,0.025
BWA_2010,BWA,2010,Botswana,0,0.730496454,0.060790274,0,0,0,0,0.208713273
BRA_2010,BRA,2010,Brazil,0,0.892570281,0.02811245,0,0,0,0,0.079317269
VGB_2010,VGB,2010,British Virgin Islands,0,0.851814516,0.084677419,0.012096774,0,0.012096774,0,0.039314516
BRN_2010,BRN,2010,Brunei,0.086606244,0.094662638,0.062437059,0,0,0.756294058,0,0
BGR_2010,BGR,2010,Bulgaria,0,0.821,0,0,0,0.137,0,0.042
BFA_2010,BFA,2010,Burkina Faso,0,0.226130653,0.154773869,0,0,0.619095477,0,0
BDI_2010,BDI,2010,Burundi,0,0.915,0.057,0,0,0.028,0,0
KHM_2010,KHM,2010,Cambodia,0.979777553,0,0,0,0,0.020222447,0,0
CMR_2010,CMR,2010,Cameroon,0,0.703703704,0.033033033,0,0,0.183183183,0.027027027,0.053053053
CAN_2010,CAN,2010,Canada,0,0.701219512,0.012195122,0.014227642,0.010162602,0.021341463,0,0.240853659
CPV_2010,CPV,2010,Cape Verde,0,0.893681043,0.015045135,0,0,0,0,0.091273821
CYM_2010,CYM,2010,Cayman Islands,0,0.857289528,0.046201232,0,0,0,0,0.09650924
CAF_2010,CAF,2010,Central African Republic,0,0.895,0.01,0,0,0.085,0,0.01
TCD_2010,TCD,2010,Chad,0,0.406813627,0.014028056,0,0,0.554108216,0,0.0250501
CHA_2010,CHA,2010,Channel Islands,0,0.857142857,0,0,0,0,0,0.142857143
CHL_2010,CHL,2010,Chile,0,0.898492462,0.015075377,0,0,0,0,0.086432161
CHN_2010,CHN,2010,China,0.183467742,0.05141129,0.220766129,0,0,0.018145161,0,0.526209677
