Code,Year,Pop
AFG,1970,11173654
AFG,1971,11475450
AFG,1972,11791222
AFG,1973,12108963
AFG,1974,12412960
AFG,1975,12689164
AFG,1976,12943093
AFG,1977,13171294
AFG,1978,13341199
AFG,1979,13411060
AFG,1980,13356500
AFG,1981,13171679
AFG,1982,12882518
AFG,1983,12537732
AFG,1984,12204306
AFG,1985,11938204
AFG,1986,11736177
AFG,1987,11604538
AFG,1988,11618008
AFG,1989,11868873
AFG,1990,12412311
AFG,1991,13299016
AFG,1992,14485543
AFG,1993,15816601
AFG,1994,17075728
AFG,1995,18110662
AFG,1996,18853444
AFG,1997,19357126
AFG,1998,19737770
AFG,1999,20170847
AFG,2000,20779957
AFG,2001,21606992
AFG,2002,22600774
AFG,2003,23680871
AFG,2004,24726689
AFG,2005,25654274
AFG,2006,26433058
AFG,2007,27100542
AFG,2008,27722281
AFG,2009,28394806
AFG,2010,29185511
AFG,2011,30117411
AFG,2012,31161378
AFG,2013,32269592
AFG,2014,33370804
AFG,2015,34413603
AFG,2016,35383028
AFG,2017,36296111
AFG,2018,37171922
AFG,2019,38041757
AFG,2020,38928341
AFG,2021,39835428
AFG,2022,40754385
AFG,2023,41681232
AFG,2024,42608714
AFG,2025,43531523
AFG,2026,44449106
AFG,2027,45363560
AFG,2028,46275305
AFG,2029,47185165
AFG,2030,48093576
AFG,2031,49000190
AFG,2032,49904008
AFG,2033,50803985
AFG,2034,51698839
AFG,2035,52587415
AFG,2036,53468940
AFG,2037,54342917
AFG,2038,55208543
AFG,2039,56065157
AFG,2040,56912008
AFG,2041,57748480
AFG,2042,58573847
AFG,2043,59387210
AFG,2044,60187566
AFG,2045,60974108
AFG,2046,61746119
AFG,2047,62503158
AFG,2048,63245020
AFG,2049,63971682
AFG,2050,64682976
AFG,2051,65378498
AFG,2052,66057693
AFG,2053,66720061
AFG,2054,67365070
AFG,2055,67992198
AFG,2056,68601077
AFG,2057,69191273
AFG,2058,69762278
AFG,2059,70313576
AFG,2060,70844694
AFG,2061,71355260
AFG,2062,71844941
AFG,2063,72313405
AFG,2064,72760294
AFG,2065,73185287
AFG,2066,73588196
AFG,2067,73968838
AFG,2068,74327012
AFG,2069,74662577
AFG,2070,74975404
AFG,2071,75265446
AFG,2072,75532727
AFG,2073,75777323
AFG,2074,75999471
AFG,2075,76199343
AFG,2076,76377114
AFG,2077,76532930
AFG,2078,76666941
AFG,2079,76779299
AFG,2080,76870229
AFG,2081,76940011
AFG,2082,76989050
AFG,2083,77017762
AFG,2084,77026666
AFG,2085,77016262
AFG,2086,76987010
AFG,2087,76939414
AFG,2088,76874094
AFG,2089,76791721
AFG,2090,76692976
AFG,2091,76578449
AFG,2092,76448745
AFG,2093,76304426
AFG,2094,76146060
AFG,2095,75974263
AFG,2096,75789679
AFG,2097,75593012
AFG,2098,75384972
AFG,2099,75166360
AFG,2100,74937961
ALB,1970,2150704
ALB,1971,2202186
ALB,1972,2254058
ALB,1973,2306284
ALB,1974,2358852
ALB,1975,2411733
ALB,1976,2464981
ALB,1977,2518685
ALB,1978,2572852
ALB,1979,2627506
ALB,1980,2682697
ALB,1981,2737018
ALB,1982,2790284
ALB,1983,2844867
ALB,1984,2904142
ALB,1985,2969671
ALB,1986,3044201
ALB,1987,3124892
ALB,1988,3200972
ALB,1989,3257913
ALB,1990,3286070
ALB,1991,3280397
ALB,1992,3245887
ALB,1993,3195196
ALB,1994,3146518
ALB,1995,3112923
ALB,1996,3098699
ALB,1997,3099747
ALB,1998,3110699
ALB,1999,3122700
ALB,2000,3129246
ALB,2001,3129701
ALB,2002,3126183
ALB,2003,3118017
ALB,2004,3104893
ALB,2005,3086810
ALB,2006,3063021
ALB,2007,3033993
ALB,2008,3002683
ALB,2009,2973044
ALB,2010,2948029
ALB,2011,2928601
ALB,2012,2914091
ALB,2013,2903788
ALB,2014,2896307
ALB,2015,2890524
ALB,2016,2886427
ALB,2017,2884169
ALB,2018,2882735
ALB,2019,2880913
ALB,2020,2877800
ALB,2021,2872934
ALB,2022,2866378
ALB,2023,2858418
ALB,2024,2849657
ALB,2025,2840468
ALB,2026,2830858
ALB,2027,2820624
ALB,2028,2809863
ALB,2029,2798631
ALB,2030,2786972
ALB,2031,2774952
ALB,2032,2762547
ALB,2033,2749560
ALB,2034,2735797
ALB,2035,2721086
ALB,2036,2705366
ALB,2037,2688717
ALB,2038,2671238
ALB,2039,2653084
ALB,2040,2634385
ALB,2041,2615173
ALB,2042,2595440
ALB,2043,2575257
ALB,2044,2554627
ALB,2045,2533639
ALB,2046,2512295
ALB,2047,2490632
