Code,Year,PU_GDP,PU_AIC
AFG,2017,3.95,3.95
ALB,2017,2.88,2.36
DZA,2017,2.86,2.9
AND,2017,1.4,1.26
AGO,2017,1.78,1.55
AIA,2017,1.18,1.04
ATG,2017,1.29,1.09
ARG,2017,1.61,1.61
ARM,2017,3.09,2.89
ABW,2017,1.33,1.21
AUS,2017,0.89,0.85
AUT,2017,1.15,1.07
AZE,2017,3.4,3.53
BHS,2017,1.11,0.91
BHR,2017,2.01,1.84
BGD,2017,2.7,2.73
BRB,2017,1.48,1.47
BLR,2017,3.17,3.13
BEL,2017,1.15,1.05
BLZ,2017,1.45,1.35
BEN,2017,2.69,2.65
BMU,2017,0.73,0.63
BTN,2017,3.39,3.18
BOL,2017,2.53,2.66
BIH,2017,2.56,2.21
BWA,2017,2.19,2.07
BRA,2017,1.46,1.37
VGB,2017,0.94,0.91
BRN,2017,2.13,1.98
BGR,2017,2.57,2.35
BFA,2017,2.79,2.91
BDI,2017,2.64,2.64
CPV,2017,2.02,2.05
KHM,2017,2.84,2.72
CMR,2017,2.5,2.46
CAN,2017,1.08,1.01
CYM,2017,0.86,0.72
CAF,2017,3,3.26
TCD,2017,2.39,2.45
CHL,2017,1.58,1.35
CHN,2017,1.62,1.63
COL,2017,2.24,2.08
COM,2017,2.3,2.04
COD,2017,2.27,2.32
COG,2017,1.96,2.04
COK,2017,1.43,1.4
CRI,2017,1.62,1.52
CIV,2017,2.29,2.36
HRV,2017,1.99,1.73
CUB,2017,1.87,1.91
CUW,2017,1.31,1.21
CYP,2017,1.44,1.32
CZE,2017,1.88,1.71
DNK,2017,0.96,0.83
DJI,2017,1.68,1.7
DMA,2017,1.55,1.44
DOM,2017,2.2,1.95
ECU,2017,1.87,1.74
EGY,2017,3.3,3.34
SLV,2017,2.16,1.94
GNQ,2017,2.34,1.91
ERI,2017,2.87,3.18
EST,2017,1.66,1.48
SWZ,2017,2.15,2.18
ETH,2017,2.8,2.81
FJI,2017,2.2,2.1
FIN,2017,1.03,0.95
FRA,2017,1.15,1.06
PYF,2017,1.39,1.39
GAB,2017,2.08,1.82
GMB,2017,3.05,3.08
GEO,2017,3.12,2.71
DEU,2017,1.2,1.12
GHA,2017,2.47,2.48
GRC,2017,1.54,1.37
GRL,2017,0.96,0.83
GRD,2017,1.6,1.5
GTM,2017,1.87,1.87
GIN,2017,2.84,2.84
GNB,2017,2.61,2.51
GUY,2017,2.01,2.01
HTI,2017,2.23,2.05
HND,2017,2.28,2.18
HKG,2017,1.3,1.25
HUN,2017,2.04,1.86
ISL,2017,0.78,0.69
IND,2017,3.15,3.34
IDN,2017,2.85,2.63
IRN,2017,2.54,2.38
IRQ,2017,2.24,2.26
IRL,2017,1.12,0.91
