Master,Special,CC,Code,Country,Year,Pop,GDPcoL,GDPcoP,GDPcoU,HCEcoL,HCEcoP,HCEcoU,GDPcuL,GDPcuP,GDPcuU,HCEcuL,HCEcuP,HCEcuU,Defl,DiffDefl,XR,RXR,Cont,Reg,TelluReg,EU
1,0,AFG_1970,AFG,Afghanistan,1970,11173642,6.40E+11,,10467590134,1.67E+11,,2734160598,77911878,,1731435587,69796803,,1551094283,0.000121733,0.000587535,0.044998427,76.58855938,Asia,S Asia,S Asia,0
0,0,ALB_1970,ALB,Albania,1970,2150707,4.00E+11,,3171931973,2.46E+11,,1953041166,11327885280,,2265577056,6562803916,,1312560783,0.028352376,0.13684091,5,36.5387807,Europe,S Europe,Europe & C Asia,0
1,0,DZA_1970,DZA,Algeria,1970,14464985,3.51E+12,,34858471739,1.20E+12,,11900199382,25451140017,,5155120658,15184710445,,3075658475,0.007251141,0.034997165,4.937060004,141.0702839,Africa,Africa,MENA,0
0,0,AND_1970,AND,Andorra,1970,24276,807761363.6,,895861293.4,515709903.8,,571956721.7,41850727,,99476786.51,26719320,,63510296.76,0.051810756,0.250061264,0.420708473,1.682421609,Europe,S Europe,Europe & C Asia,0
1,0,AGO_1970,AGO,Angola,1970,5890365,3.20E+12,,26636255724,1.98E+12,,16482684727,109,,3807845629,51,,1781652542,3.41E-11,1.65E-10,2.86E-08,174.0076044,Africa,Africa,SSA,0
0,0,AIA_1970,AIA,Anguilla,1970,6771,110458432.8,,40910530.65,43697728.31,,16184343.82,7817934,,3902379.57,3092801,,1543794.49,0.070777158,0.341601378,2.00337611,5.864660504,N America,Latam & Carib,Latam & Carib,0
0,0,ATG_1970,ATG,Antigua and Barbuda,1970,64177,765047606.5,,283350965.4,747721975.5,,276934065,67731646,,33865822.98,54083245,,27041622.49,0.08853259,0.427296819,2.000000001,4.680587147,N America,Latam & Carib,Latam & Carib,0
1,0,ARG_1970,ARG,Argentina,1970,23880561,2.28E+12,,2.46E+11,1.12E+12,,1.22E+11,1.28858,,33984527481,0.87812,,23159208797,5.66E-13,2.73E-12,3.79E-11,13.87502387,S America,Latam & Carib,Latam & Carib,0
0,3,ARM_1970,ARM,Armenia,1970,2525068,1.09E+12,,2281318687,6.48E+11,,1355384438,19219446.3,,1261392287,9635725.638,,632402713.8,1.76E-05,8.51E-05,0.015236692,179.0865467,Asia,W Asia,Europe & C Asia,0
0,0,ABW_1970,ABW,Aruba,1970,59063,465818014.2,,260233527.5,265779027.6,,148479903.7,353746880,,197623955.3,190088493,,106194688.8,0.759410047,3.665243478,1.79,0.488371376,N America,Latam & Carib,Latam & Carib,0
1,0,AUS_1970,AUS,Australia,1970,12793034,4.19E+11,,3.14E+11,2.23E+11,,1.67E+11,40314000000,,45151687230,21967000000,,24603043939,0.09631781,0.464871682,0.892857,1.92065259,Oceania,Oceania,SE Asia & Pacific,0
1,0,AUT_1970,AUT,Austria,1970,7516239,1.22E+11,,1.35E+11,66527090300,,73782985730,29047294424,,15373057118,16015285377,,8475966583,0.23842233,1.150729954,1.88949369,1.641995747,Europe,W Europe,Europe & C Asia,1
1,3,AZE_1970,AZE,Azerbaijan,1970,5180023,8367280969,,8166676216,3839860460,,3747800177,112019.5141,,3572000582,58954.26897,,1879892845,1.34E-05,6.46E-05,3.14E-05,0.485340285,Asia,W Asia,Europe & C Asia,0
0,0,BHS_1970,BHS,Bahamas,1970,169377,4658973999,,4658973999,1772066981,,1772066981,764262731,,762965054.6,423843886,,423124222.2,0.164040995,0.791733254,1.001700833,1.2651999,N America,Latam & Carib,Latam & Carib,0
0,0,BHR_1970,BHR,Bahrain,1970,212605,1771141501,,4710482716,812193350,,2160088697,200953871,,422003551.6,136099733,,285809725.4,0.113460088,0.547607778,0.476189999,0.869582242,Asia,W Asia,MENA,0
1,0,BGD_1970,BGD,Bangladesh,1970,64232482,2.55E+12,,32654188087,3.69E+12,,47332638760,45099043710,,6195774654,44371794470,,6095864057,0.017718606,0.085517706,7.279,85.11687672,Asia,S Asia,S Asia,0
0,0,BRB_1970,BRB,Barbados,1970,238896,5267350802,,2633675401,6761830235,,3380915118,435969055,,217984527.4,369698352,,184849175.9,0.082768183,0.399475282,2.000000001,5.00656759,N America,Latam & Carib,Latam & Carib,0
1,3,BLR_1970,BLR,Belarus,1970,8913552,18637153978,,11702353152,5925960996,,3720937672,171.1621498,,10675523971,82.24219977,,5129513600,9.18E-09,4.43E-08,1.60E-08,0.361712821,Europe,E Europe,Europe & C Asia,0
1,0,BEL_1970,BEL,Belgium,1970,9632180,1.56E+11,,1.73E+11,82461930531,,91455787653,33102330051,,26706893654,16938224252,,13665725437,0.212716015,1.026660088,1.239467625,1.207281396,Europe,W Europe,Europe & C Asia,1
